X,Y,Z,R
4.66E-07,-1.388302828,-3.438104261,1.7
5.85E-07,-0.428202044,-4.442718671,1.7
1.69E-07,0.939907918,-4.130604065,1.7
-3.99E-07,1.365548894,-2.811400444,1.7
-4.36E-07,0.415645016,-1.779994908,1.7
-1.53E-08,-0.963623038,-2.110520984,1.7
-1.10E-06,0.586743534,-0.35729611,1.7
-1.07E-06,-0.586743591,0.357296135,1.7
-4.86E-07,-2.002819074,-0.678235815,1.8
-5.47E-07,2.002819035,0.678235808,1.8
7.74E-08,0.963623054,2.110520967,1.7
-3.45E-07,-0.415645001,1.779994892,1.7
5.70E-07,1.388302847,3.438104278,1.7
5.87E-07,0.428202041,4.442718641,1.7
1.37E-07,-0.939907929,4.130604063,1.7
-2.74E-07,-1.365548889,2.811400464,1.7
7.00E-07,-2.444156104,-3.681888322,1.2
9.85E-07,-0.742543696,-5.479852032,1.2
2.03E-07,1.670585708,-4.930929308,1.2
-7.75E-07,2.42256738,-2.570521461,1.2
7.32E-07,2.444156113,3.681888346,1.2
8.77E-07,0.742543699,5.479852016,1.2
9.43E-08,-1.670585678,4.930929345,1.2
-7.38E-07,-2.422567367,2.570521424,1.2
