a,b,theta,A1,A2,phi1,Rt,Rp,cx,cy,cz,status
7.8,6,27.5,2,-6,0,0,0,0.8,2.4,11.6,NotYet
7.8,6,27.5,2,-6,0,0,0,0.7,2.4,11.6,NotYet
7.8,6,27.5,2,-6,0,0,0,0.6,2.4,11.6,NotYet
7.8,6,27.5,2,-6,0,0,0,0.5,2.4,11.6,NotYet
7.8,6,27.5,2,-6,0,0,0,0.4,2.4,11.6,NotYet
7.8,6,27.5,2,-6,0,0,0,0.3,2.4,11.6,NotYet
7.8,6,27.5,2,-6,0,0,0,0.2,2.4,11.6,NotYet
7.8,6,27.5,2,-6,0,0,0,0.1,2.4,11.6,NotYet
7.8,6,27.5,2,-6,0,0,0,0,2.4,11.6,NotYet
7.8,6,27.5,2,-6,0,0,0,-0.1,2.4,11.6,NotYet
7.8,6,27.5,2,-6,0,0,0,0.8,2.3,11.6,NotYet
7.8,6,27.5,2,-6,0,0,0,0.7,2.3,11.6,NotYet
7.8,6,27.5,2,-6,0,0,0,0.6,2.3,11.6,NotYet
7.8,6,27.5,2,-6,0,0,0,0.5,2.3,11.6,NotYet
7.8,6,27.5,2,-6,0,0,0,0.4,2.3,11.6,NotYet
7.8,6,27.5,2,-6,0,0,0,0.3,2.3,11.6,NotYet
7.8,6,27.5,2,-6,0,0,0,0.2,2.3,11.6,NotYet
7.8,6,27.5,2,-6,0,0,0,0.1,2.3,11.6,NotYet
7.8,6,27.5,2,-6,0,0,0,0,2.3,11.6,NotYet
7.8,6,27.5,2,-6,0,0,0,-0.1,2.3,11.6,NotYet
7.8,6,27.5,2,-6,0,0,0,0.8,2.5,11.6,NotYet
7.8,6,27.5,2,-6,0,0,0,0.7,2.5,11.6,NotYet
7.8,6,27.5,2,-6,0,0,0,0.6,2.5,11.6,NotYet
7.8,6,27.5,2,-6,0,0,0,0.5,2.5,11.6,NotYet
7.8,6,27.5,2,-6,0,0,0,0.4,2.5,11.6,NotYet
7.8,6,27.5,2,-6,0,0,0,0.3,2.5,11.6,NotYet
7.8,6,27.5,2,-6,0,0,0,0.2,2.5,11.6,NotYet
7.8,6,27.5,2,-6,0,0,0,0.1,2.5,11.6,NotYet
7.8,6,27.5,2,-6,0,0,0,0,2.5,11.6,NotYet
7.8,6,27.5,2,-6,0,0,0,-0.1,2.5,11.6,NotYet
