cx,cy,cz,a,b,theta,A1,A2,phi1,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
0,2.4,11.6,7.8,6,27,2,-6,0,-10.11913213,-1.30236563,-1.302359355,-0.066585086,-1.369044842,-0.066585086,-1.369044842,-0.162926696,-0.997860127,-0.997860127,-0.162926696,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=0.0_cy=2.4_cz=11.6.log
0.1,2.4,11.6,7.8,6,27,2,-6,0,-10.11788339,-1.380352572,-1.222502432,-0.068109935,-1.280227077,-0.065022586,-1.451581232,-0.160109177,-0.92838222,-1.070845815,-0.165706566,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=0.1_cy=2.4_cz=11.6.log
-0.1,2.4,11.6,7.8,6,27,2,-6,0,-10.11787711,-1.222502432,-1.380346297,-0.065022586,-1.451581232,-0.068109935,-1.280227077,-0.165706566,-1.070845815,-0.92838222,-0.160109177,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=-0.1_cy=2.4_cz=11.6.log
0,2.4,11.5,7.8,6,27,2,-6,0,-10.07855734,-1.210215786,-1.210209511,-0.069659885,-1.290078984,-0.069659885,-1.290078984,-0.172238945,-1.062424631,-1.062424631,-0.172238945,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=0.0_cy=2.4_cz=11.5.log
-0.1,2.4,11.5,7.8,6,27,2,-6,0,-10.07541979,-1.105785572,-1.311985358,-0.06805346,-1.401198455,-0.071197284,-1.171680397,-0.175376495,-1.139664837,-0.98864828,-0.169070019,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=-0.1_cy=2.4_cz=11.5.log
0.1,2.4,11.5,7.8,6,27,2,-6,0,-10.07541979,-1.311991633,-1.105779297,-0.071197284,-1.171680397,-0.06805346,-1.401198455,-0.169070019,-0.98864828,-1.139664837,-0.175376495,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=0.1_cy=2.4_cz=11.5.log
0.8,2.4,11.6,7.8,6,27,2,-6,0,-10.03000061,-1.75606791,-0.747088306,-0.076618971,-0.708898047,-0.052679464,-1.727804859,-0.139746477,-0.544578278,-1.61241832,-0.183678452,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=0.8_cy=2.4_cz=11.6.log
-0.8,2.4,11.6,7.8,6,27,2,-6,0,-10.03000061,-0.747094581,-1.75606791,-0.052679464,-1.727804859,-0.076612696,-0.708898047,-0.183678452,-1.61241832,-0.544578278,-0.139746477,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=-0.8_cy=2.4_cz=11.6.log
0,2.5,11.6,7.8,6,27,2,-6,0,-10.00887863,-1.407793585,-1.407787309,-0.064012295,-1.225081498,-0.064012295,-1.225081498,-0.155697781,-0.998079756,-0.998079756,-0.155697781,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=0.0_cy=2.5_cz=11.6.log
-0.1,2.5,11.6,7.8,6,27,2,-6,0,-10.00629329,-1.336483348,-1.475376412,-0.062499996,-1.334958499,-0.065455568,-1.109243152,-0.158163896,-1.07149215,-0.928300643,-0.153181466,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=-0.1_cy=2.5_cz=11.6.log
0.1,2.5,11.6,7.8,6,27,2,-6,0,-10.00628701,-1.475376412,-1.336477073,-0.065455568,-1.109243152,-0.062499996,-1.334958499,-0.153181466,-0.928300643,-1.07149215,-0.158163896,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=0.1_cy=2.5_cz=11.6.log
0.1,2.3,11.6,7.8,6,27,2,-6,0,-9.999202423,-1.223700976,-1.043737383,-0.070883529,-1.394603325,-0.067658128,-1.524234341,-0.167369467,-0.927403304,-1.068768757,-0.173650842,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=0.1_cy=2.3_cz=11.6.log
-0.1,2.3,11.6,7.8,6,27,2,-6,0,-9.999189873,-1.043731108,-1.223694701,-0.067658128,-1.524234341,-0.070883529,-1.394603325,-0.173650842,-1.068768757,-0.927403304,-0.167369467,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=-0.1_cy=2.3_cz=11.6.log
0.9,2.4,11.6,7.8,6,27,2,-6,0,-9.998995343,-1.773311885,-0.710623699,-0.07750376,-0.661508492,-0.050784384,-1.720218263,-0.13679718,-0.504398813,-1.675388949,-0.185937488,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=0.9_cy=2.4_cz=11.6.log
-0.9,2.4,11.6,7.8,6,27,2,-6,0,-9.998995343,-0.710623699,-1.773311885,-0.050784384,-1.720218263,-0.07750376,-0.661508492,-0.185937488,-1.675388949,-0.504398813,-0.13679718,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=-0.9_cy=2.4_cz=11.6.log
0,2.3,11.6,7.8,6,27,2,-6,0,-9.998298808,-1.133201483,-1.133195208,-0.06930848,-1.462688159,-0.06930848,-1.462688159,-0.170525842,-0.996454505,-0.996454505,-0.170519567,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=0.0_cy=2.3_cz=11.6.log
0.8,2.3,11.6,7.8,6,27,2,-6,0,-9.995462464,-1.725414046,-0.590599862,-0.079737696,-0.895732874,-0.054725147,-1.689602051,-0.145023836,-0.544471602,-1.595952458,-0.194377498,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=0.8_cy=2.3_cz=11.6.log
-0.8,2.3,11.6,7.8,6,27,2,-6,0,-9.995456189,-0.590599862,-1.725414046,-0.054725147,-1.689602051,-0.079737696,-0.895726599,-0.194377498,-1.595952458,-0.544471602,-0.145023836,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=-0.8_cy=2.3_cz=11.6.log
