X,Y,Z,R
-1.89E-07,1.395118089,3.443388002,1.7
-1.10E-07,0.433343413,4.45492584,1.7
1.74E-07,-0.940489824,4.145899806,1.7
3.50E-07,-1.373510891,2.822904012,1.7
1.21E-07,-0.424746747,1.782250766,1.7
-1.67E-07,0.963813075,2.113014365,1.7
5.74E-07,-0.593199782,0.359576684,1.7
5.02E-07,0.593199843,-0.359576698,1.7
-7.39E-07,2.004046122,0.682343659,1.8
-6.50E-07,-2.0040461,-0.682343642,1.8
-2.73E-07,-0.963813105,-2.113014348,1.7
6.92E-09,0.424746742,-1.782250729,1.7
-2.52E-07,-1.395118126,-3.443388028,1.7
-1.18E-07,-0.433343387,-4.454925793,1.7
1.83E-07,0.940489826,-4.145899793,1.7
2.55E-07,1.37351088,-2.822904025,1.7
-5.22E-07,2.459663695,3.685272117,1.2
-3.35E-07,0.753846218,5.498569724,1.2
2.96E-07,-1.674038336,4.954466292,1.2
6.20E-07,-2.439689107,2.585293489,1.2
-5.04E-07,-2.459663705,-3.685272211,1.2
3.50E-07,1.674038304,-4.95446631,1.2
7.01E-07,2.439689097,-2.585293483,1.2
-5.64E-08,-0.75392005,-5.49881018,1.2
