X,Y,Z,R
-1.18E-07,-0.55987135,-4.86693511,1.2
-5.64E-08,-0.882796559,-5.918466993,1.7
5.83E-08,-2.408727348,-6.042022073,1.7
3.85E-08,-2.896173579,-7.494918144,1.7
-5.01E-08,-4.421904364,-7.631391571,1.7
4.21E-08,-4.908048112,-9.084193227,1.7
-5.01E-08,-6.433954912,-9.220490093,1.7
3.85E-08,-6.920229634,-10.67307962,1.7
5.83E-08,-8.446530067,-10.81062164,1.7
-5.64E-08,-8.920284332,-12.26639894,1.7
0.888329334,-0.445514762,-6.402600194,1.2
-0.888329671,-0.445514909,-6.402599902,1.2
-0.881973726,-2.823361884,-5.521557012,1.2
0.8819739,-2.823361778,-5.521557033,1.2
0.88258295,-2.48239102,-8.017598497,1.2
-0.882582761,-2.482390877,-8.017598565,1.2
-0.882634355,-4.834987092,-7.108540709,1.2
0.882634063,-4.834987245,-7.108540515,1.2
0.882587053,-4.495056927,-9.607105514,1.2
-0.882586769,-4.495056769,-9.607105714,1.2
-0.882634355,-6.846865135,-8.697502988,1.2
0.882634063,-6.846865287,-8.697502794,1.2
0.88258295,-6.507647433,-11.196708,1.2
-0.882582761,-6.5076474,-11.19670815,1.2
-0.881973726,-8.856759856,-10.28667775,1.2
0.8819739,-8.856759861,-10.28667786,1.2
1.12E-07,-10.0188146,-12.33694488,1.2
0.888329334,-8.550645117,-12.80395561,1.2
-0.888329671,-8.550645366,-12.8039554,1.2
