X,Y,Z,R
1.04E-08,-0.714796399,-4.879801489,1.7
-8.89E-09,0.714796773,-4.879801305,1.7
2.49E-07,1.407482747,-3.705279887,1.7
9.05E-10,0.72499325,-2.445566984,1.7
-2.91E-08,-0.724993265,-2.445567132,1.7
1.70E-07,-1.407482639,-3.705280189,1.7
-7.66E-08,1.404766618,-1.233270888,1.7
-1.55E-08,0.725140018,-5.01E-08,1.7
-1.56E-08,-0.725140192,-4.93E-08,1.7
-1.01E-07,-1.404766922,-1.233271029,1.7
-3.71E-08,1.404766622,1.233270946,1.7
-4.04E-08,0.724993294,2.445566922,1.7
4.93E-08,-0.724993303,2.445567079,1.7
4.73E-08,-1.404766938,1.233271097,1.7
-4.99E-08,1.407482779,3.705279953,1.7
-9.81E-08,0.714796833,4.879801301,1.7
1.08E-07,-0.714796465,4.879801485,1.7
1.98E-07,-1.407482674,3.705280251,1.7
-3.18E-07,-1.244896906,-5.825508212,1.2
-2.50E-07,1.244897445,-5.82550793,1.2
2.50E-07,2.492519657,-3.704659047,1.2
5.59E-08,-2.492519679,-3.704659514,1.2
-1.07E-08,2.490521142,-1.233565151,1.2
-4.52E-08,-2.490521711,-1.233565348,1.2
-7.80E-08,2.490521149,1.233565101,1.2
9.33E-08,-2.490521728,1.2335653,1.2
-1.57E-07,2.49251969,3.704659026,1.2
-2.77E-07,1.244897414,5.825507976,1.2
9.62E-08,-1.244896898,5.825508252,1.2
2.76E-07,-2.492519715,3.704659516,1.2
