a,b,theta,A1,A2,E,E_p,E_t,machine_type,status,file_name
5.8,8.6,64,-1,33,-54.53505424,-7.875391062,-9.696068029,2,Done,tetracene_A1=-1_A2=33_a=5.8_b=8.6_theta=64.0_cx=0_cy=0_cz=0.log
5.8,8.6,64,-2,33,-54.1711888,-7.961277101,-9.56215865,2,Done,tetracene_A1=-2_A2=33_a=5.8_b=8.6_theta=64.0_cx=0_cy=0_cz=0.log
5.8,8.6,64,-3,33,-53.31023253,-8.011398835,-9.321858716,2,Done,tetracene_A1=-3_A2=33_a=5.8_b=8.6_theta=64.0_cx=0_cy=0_cz=0.log
5.8,8.6,64,-4,33,-51.91779035,-8.030524085,-8.964185546,1,Done,tetracene_A1=-4_A2=33_a=5.8_b=8.6_theta=64.0_cx=0_cy=0_cz=0.log
5.8,8.6,64,-5,33,-49.95295363,-8.023989195,-8.47624381,1,Done,tetracene_A1=-5_A2=33_a=5.8_b=8.6_theta=64.0_cx=0_cy=0_cz=0.log
5.8,8.6,64,-6,33,-47.35453512,-7.996879508,-7.840194026,1,Done,tetracene_A1=-6_A2=33_a=5.8_b=8.6_theta=64.0_cx=0_cy=0_cz=0.log
5.8,8.6,64.5,-2,33,-54.44158788,-7.899373239,-9.660710351,2,Done,tetracene_A1=-2_A2=33_a=5.8_b=8.6_theta=64.5_cx=0_cy=0_cz=0.log
5.8,8.6,64.5,-1,33,-54.66422341,-7.768367977,-9.781871864,2,Done,tetracene_A1=-1_A2=33_a=5.8_b=8.6_theta=64.5_cx=0_cy=0_cz=0.log
5.8,8.6,64.5,-3,33,-53.73097548,-7.98789482,-9.438796459,2,Done,tetracene_A1=-3_A2=33_a=5.8_b=8.6_theta=64.5_cx=0_cy=0_cz=0.log
5.8,8.6,64.5,-6,33,-48.30154811,-8.05123317,-8.049770444,1,Done,tetracene_A1=-6_A2=33_a=5.8_b=8.6_theta=64.5_cx=0_cy=0_cz=0.log
5.8,8.6,64.5,-4,33,-52.49902776,-8.038793411,-9.105360235,1,Done,tetracene_A1=-4_A2=33_a=5.8_b=8.6_theta=64.5_cx=0_cy=0_cz=0.log
5.8,8.6,64.5,-5,33,-50.70759716,-8.057902346,-8.647948116,1,Done,tetracene_A1=-5_A2=33_a=5.8_b=8.6_theta=64.5_cx=0_cy=0_cz=0.log
5.8,8.6,65,-2,33,-54.58817171,-7.79897666,-9.747554597,2,Done,tetracene_A1=-2_A2=33_a=5.8_b=8.6_theta=65.0_cx=0_cy=0_cz=0.log
5.8,8.6,65,-3,33,-54.04152014,-7.932842113,-9.543958978,2,Done,tetracene_A1=-3_A2=33_a=5.8_b=8.6_theta=65.0_cx=0_cy=0_cz=0.log
5.8,8.6,65,-1,33,-54.65460745,-7.615634553,-9.855834585,2,Done,tetracene_A1=-1_A2=33_a=5.8_b=8.6_theta=65.0_cx=0_cy=0_cz=0.log
